PLS;POL;SILK;ASI;PASP;HCO;PLHT;EHT;PLHA;RLT;SLT;EHA;EPP;EAS;ERO;YIELD
30;54;56;2;2;4;156;66;28;0;0,552841969;34;1,21;3;1;4131,319786
26;54;56;2;4;3;126;54;22;0,66;0;22;1;4;3;2018,15615
40;52;53;1;3;4;14;68;35;0,46;0;34;0,97;3;2;3396,266667
39;51;53;2;2;3;134;54;37;0,73;0;35;0,95;5;3;2517,835294
37;50;54;4;3;2;124;50;35;0,93;0;27;0,77;4;3;2260,762923
31;46;48;2;4;2;126;54;25;0,6;0,602059991;30;1,2;4;3;2196,272371
29;52;55;3;3;3;121;50;24;0,62;0,920818754;25;1,04;4;2;2289,078075
32;55;58;3;2;1;167;65;31;1,51;0,809668302;29;0,94;1;1;4360,213904
26;49;51;2;3;2;134;54;22;1,26;1,134698574;17;0,77;3;2;1814,816399
33;50;54;4;3;4;12;55;18;1,22;1,045757491;12;0,67;7;3;554,1647059
31;55;58;3;3;3;138;56;25;0;0,602059991;19;0,76;4;1;1532,440642
32;49;50;1;2;2;146;59;31;1,11;0;29;0,94;3;3;2655,657754
36;48;49;1;3;3;147;64;30;1;0;30;1;3;2;2947,513725
36;53;56;3;1;1;173;87;29;1,01;0;28;0,97;2;1;5177,611408
34;50;53;3;3;4;136;60;33;0;0,782516056;31;0,94;3;2;2790,536898
38;50;51;1;3;3;138;60;38;0,72;0;38;1;4;3;3039,691979
38;47;49;2;3;3;115;50;29;0;0,537602002;23;0,79;5;2;1382,71943
30;53;56;3;2;2;134;62;30;0;0;30;1;2;1;3234,133333
35;50;52;2;3;2;127;53;31;0,51;0,508638306;38;1,23;3;1;3068,520499
35;46;48;2;4;3;129;54;35;0;0;38;1,09;5;3;3050,26738
29;55;57;2;2;3;122;43;22;0;0;27;1,23;4;1;2070,633868
38;48;50;2;5;3;151;63;38;0,72;0;47;1,24;3;1;3882,141889
30;52;57;5;4;4;118;51;22;0;0,657577319;22;1;4;2;1781,595722
37;47;48;1;4;4;127;52;22;0;0,958607315;17;0,77;4;2;1231,172906
20;55;57;2;1;1;133;55;18;0;0;15;0,83;3;1;1816,367914
25;54;57;3;2;2;164;71;23;1,12;0;23;1;2;1;3945,400357
38;48;51;3;2;3;147;62;36;0,44;0;29;0,81;3;2;2884,266667
34;52;55;3;3;3;129;60;26;0,89;0,886056648;21;0,81;2;2;1677,644207
33;51;53;2;3;4;125;55;23;0,64;0;19;0,83;2;2;1631,828877
35;58;58;0;4;5;125;49;18;0;0;7;0,39;5;2;315,7333333
